well_id,lat,lon,district,taluka,specific_yield,sy_source,village,aquifer_type,well_depth,n_observations,first_obs,last_obs
MHf2e694f82a,17.8917,74.5042,Satara,Phaltan,0.02,district_modal,Mogarle,Unconfined,7.63,74,2000-01-15,2023-05-15
MHadb9eaed1e,17.3217,73.895,Satara,Patan,0.02,district_modal,Morgir (Shivpurpeth),Unconfined,4.62,73,2000-01-15,2023-05-15
MHb265b84b22,17.1417,73.9792,Satara,Patan,0.02,district_modal,Mutlavadi,Unconfined,8.97,70,2000-01-15,2023-05-15
MH173bbfeed7,17.9833,74.5667,Satara,Phaltan,0.02,district_modal,Nimblak,Unconfined,11.0,76,2000-01-15,2023-05-15
MH241df70ddd,17.9931,74.525,Satara,Phaltan,0.02,district_modal,Nimblak,Unconfined,30.0,64,2000-05-15,2023-05-15
MH5484d7c2e1,18.025,74.3417,Satara,Phaltan,0.02,district_modal,Nimbore,-,7.5,57,2000-01-15,2015-01-15
MH50c13c795c,17.9167,73.75,Satara,Mahabaleshwar,0.02,district_modal,Panchagani,Unconfined,20.6,79,2000-01-15,2023-05-15
MH6d0b1eb951,17.3792,73.9,Satara,Patan,0.02,district_modal,Patan,-,8.6,57,2000-01-15,2019-08-15
MHc856f2af2f,18.0583,74.3444,Satara,Phaltan,0.02,district_modal,Pimpalwadi,-,8.2,52,2000-01-15,2015-01-15
MH6cd4dd48f3,17.65,74.5167,Satara,Khatav,0.02,measured,Pingli,Unconfined,11.75,72,2000-01-15,2022-11-15
MHa4731d78a7,17.6,74.2,Satara,Koregaon,0.02,district_modal,Rehmatpur,Unconfined,15.0,82,2000-01-15,2023-05-15
MHb292aee483,17.22,73.875,Satara,Patan,0.02,district_modal,Savanthwadi (Jinti),Unconfined,7.5,62,2000-01-15,2023-05-15
MH8369278ea1,17.6383,74.05,Satara,Satara,0.02,district_modal,Shendri,Unconfined,6.25,80,2000-01-15,2023-05-15
MH51b95278e8,17.4667,74.8167,Satara,Man,0.02,district_modal,Shenwadi,Unconfined,8.32,78,2000-01-15,2023-05-15
MH85595c9b84,18.15,73.975,Satara,Khandala,0.02,measured,Shirwal,Unconfined,13.8,83,2000-01-15,2023-05-15
MH0cd89c79eb,17.9667,73.9833,Satara,Wai,0.02,district_modal,Surur,Unconfined,17.0,67,2000-01-15,2023-05-15
MHf6b274719a,18.0333,74.2333,Satara,Phaltan,0.02,district_modal,Taradgaon,-,11.45,40,2000-01-15,2015-01-15
MH3799769c21,17.8667,74.325,Satara,Phaltan,0.02,district_modal,Tathvade,Unconfined,14.0,79,2000-01-15,2023-05-15
MHd00a29345e,17.1592,74.075,Satara,Karad,0.02,district_modal,Undale,Unconfined,13.99,81,2000-01-15,2023-05-15
